
Question	Correct Answer	Option 1	Option 2	Difficulty
Jak vysoké bývaly ztráty vojáků ve velkých bitvách třicetileté války?	Obvykle jen několik procent, někdy až několik desítek procent; nedocházelo k úplnému vyhlazení armády – mnoho vojáků spíš prchlo nebo bylo zajato.	Vždy byla pobita celá jedna strana do posledního muže.	Ztráty byly zanedbatelné, bojovalo se totiž více symbolicky.	3
Kolik přibližně lidí (vojáků a civilistů) zemřelo v důsledku třicetileté války?	Až okolo 8 milionů (cca 1 milion vojáků a 5–7 milionů civilistů).	Pouhých asi 50 tisíc, protože boje byly řídce vedené.	Asi 80 milionů, tedy většina evropsé populace.	2
Proč se třicetileté válce říká poslední náboženská válka Evropy?	Po ní už neproběhl tak rozsáhlý konflikt primárně kvůli náboženství – náboženská mapa (katolíci vs. protestanti) zůstala v podstatě stabilní až do 19. století.	Protože v ní bojovali poslední křesťané proti nevěřícím.	Protože po ní byla církev zrušena a státy už náboženství neřešily.	2
Jakým mírem byla ukončena třicetiletá válka a jaké byly jeho důsledky?	Vestfálským mírem 1648 – potvrdil náboženské rozdělení Evropy, posílil suverenitu států a ukončil boje, říše se politicky oslabila.	Pražským mírem 1635 – ten sjednotil Evropu v jedné katolické víře.	Vídeňským kongresem 1815 – ten ukončil napoleonské války, ne třicetiletou válku.	2
Kdo byl Albrecht z Valdštejna?	Český šlechtic a vojevůdce císařské armády v třicetileté válce, proslulý bohatstvím a schopnostmi.	Francouzský generál bojující proti Napoleonovi.	Papežský legát, který vyjednal Vestfálský mír.	1
Jakou roli hrál Albrecht z Valdštejna v třicetileté válce?	Byl hlavním velitelem císařských vojsk, dosáhl řady vítězství (např. nad Dány) a stal se mimořádně mocným.	Vedl české stavovské povstání proti císaři a padl u Bílé hoře.	Byl vůdcem švédských vojsk, který zemřel u Lützenu.	2
Co byl Generální pardon a jak souvisel s Valdštejnem?	Císařova amnestie (pardon) české protestantské šlechtě po porážce stavů – Valdštejn ji využil k tomu, aby se přidal zpět na stranu císaře a získal majetky.	Omluva papeže protestantům – Valdštejn byl tímto jmenován generálem církve.	Dokument, kterým se Valdštejn vzdal velení a obdržel milost.	3
Jak fungovalo Valdštejnovo Frýdlantské vévodství?	Jako stát ve státě – Valdštejn tam měl vlastní správu, mohl razit mince, povyšovat šlechtice a zakládat města.	Bylo to knížectví zcela nezávislé na císaři s vlastním parlamentem.	Byla to chudá oblast zpustošená válkou, kterou Valdštejn nikdy neobnovil.	2
Proč se císař rozhodl zbavit Albrechta z Valdštejna?	Obával se Valdštejnovy příliš velké moci a podezíral ho, že tajně jedná se Švédy a plánuje zradu.	Valdštejn odmítal bojovat a chtěl uzavřít mír, což císaře rozčílilo.	Valdštejn konvertoval k protestantství a to císař nehodlal tolerovat.	2
Jaký byl osud Albrechta z Valdštejna?	Byl roku 1634 zavražděn v Chebu na příkaz císaře poté, co byl obviněn ze zrady.	Padl v bitvě u Lützenu proti Švédům.	Dožil pokojně na svém frýdlantském panství po Vestfálském míru.	1
Jak se zachoval Valdštejn po bitvě na Bílé hoře a co tím získal?	Rychle se přidal na stranu Habsburků (konvertoval ke katolictví) a získal obrovské konfiskované majetky pobělohorských exulantů.	Utekl ze země a bojoval po zbytek války za Švédy.	Odmítl uznat porážku stavů a pokračoval v odporu na svém panství.	2
Jakou nemoc měl Valdštejn a čím ji léčil?	Trpěl pokročilou syfilidou, kterou se pokoušel léčit pomocí rtuti (což bylo tehdy běžné).	Měl malárii, léčil se chininem z Jižní Ameriky.	Trpěl dnou, kterou léčil dietou bez masa.	2
Z čeho byl Valdštejn obviněn v dopise jeho vlastního velitele stráže císaři?	Že se pokoušel dohodnout se Švédy na zradě, plánoval zabít císaře a stát se českým králem.	Že zpronevěřil žold svým vojákům a obohatil se na úkor císařské pokladny.	Že tajně uctívá protestantskou víru a chodí na luterské bohoslužby.	3
Jak naložil císař s Valdštejnovým obrovským majetkem po jeho smrti?	Konfiskoval ho a rozdělil mezi Valdštejnovy vrahy a loajální šlechtice, aby si upevnil jejich věrnost.	Věnoval všechen majetek na založení univerzit a nemocnic.	Nechal ho zničit, aby nikdo nemohl následovat Valdštejnovy ambice.	3
Kdo byl Ludvík XIV. a jaké moci je symbolem?	Francouzský král 17.–18. století, zvaný Král Slunce – symbol absolutistické monarchie.	Rакouský císař, symbol osvícenství.	Španělský dobyvatel, symbol mořeplavectví.	1
Co znamená, že Ludvík XIV. vládl absolutisticky?	Že soustředil veškerou státní moc ve svých rukou, neomezován parlamentem ani stavy.	Že zrušil ve Francii monarchii a vládl jako první prezident.	Že jeho moc byla omezená ústavou a kontrolována parlamentem.	1
Proč se Ludvíkovi XIV. říkalo "Král Slunce"?	Bral se jako střed státního vesmíru – stejně jako Slunce je středem soustavy, on byl centrem Francie a vše se točilo kolem něj.	Měl ve znaku slunce, protože se narodil během zatmění.	Nosil zlaté šaty a zářil v boji jako sluneční bůh.	2
Jak Ludvík XIV. využíval dvorský život (módu, etiketu) k posílení své moci?	Donutil šlechtu žít u jeho dvora ve Versailles, kde je zaměstnal okázalými ceremoniály a módními trendy, takže ztratili čas i chuť ku spiknutí.	Zakázal veškeré slavnosti a zábavy, aby se šlechta plně věnovala správě země.	Nutil šlechtice chodit v chudém oblečení, aby před lidem nevynikali.	3
Čím se stal zámek Versailles za vlády Ludvíka XIV.?	Politickým, kulturním a módním centrem Evropy, vzorem pro ostatní královské dvory.	Silně opevněnou pevností proti pruským vpádům.	Prvním parlamentním sídlem, kde se konala zasedání Národního shromáždění.	2
Uveďte jednu negativní stránku vlády Ludvíka XIV.	Vedl nákladné války a stavby (např. Versailles) vyčerpaly státní pokladnu, zadlužení a daňová zátěž lidu rostly.	Odmítal se starat o armádu, což vedlo k snadným porážkám Francie.	Povolil hugenotům plnou svobodu, což prý oslabilo jednotu státu.	2
Jak žila šlechtična Alžběta Lidmila z Lisova a v čem se její život lišil od života poddané ženy?	Jako nižší šlechtična měla relativní pohodlí, mohla mít služebnictvo a věnovat se společenským aktivitám, zatímco poddaná žena musela těžce pracovat na poli a starat se o obživu rodiny.	Šlechtična vykonávala nejtěžší práce a poddaná žena žila v přepychu.	Nelišil se vůbec – obě měly stejná práva a povinnosti.	3
Co znamená pojem nevolnictví?	Právní postavení poddaných, kdy jsou připoutáni k půdě a podléhají vrchnosti (nemohou se volně stěhovat a musí robotovat).	Dobrovolná služba rolníků ve vojsku výměnou za půdu.	Systém pronájmu půdy za peněžní nájem bez pracovní povinnosti.	1
Uveďte jeden rozdíl mezi nevolnictvím a otroctvím.	Nevolník je vázán k půdě a má určité právní postavení (není považován za majetek osobně), zatímco otrok je považován za majetek pána a postrádá právní subjektivitu.	Žádný – nevolnictví je totéž co otroctví.	Nevolníci mohli zastávat vysoké úřady, otroci ne.	2
Proč se po třicetileté válce rozšířilo a upevnilo nevolnictví ve střední Evropě?	Protože vylidněná krajina potřebovala obnovu a šlechta zareagovala přitvrzením poddanských povinností – připoutala rolníky k půdě, aby zajistila pracovní sílu.	Protože osvícenské myšlenky to doporučily jako pokrokový systém.	Nепřišlo k tomu – naopak nevolnictví bylo ihned po válce zrušeno.	2
Kdo byla Marie Terezie a kdy vládla?	Rakouská arcivévodkyně a česká královna z rodu Habsburků, vládla v letech 1740–1780.	Ruská carevna v 17. století.	Pruská princezna, která se prohlásila královnou Francie 18. stol.	1
Co byla Pragmatická sankce z roku 1713?	Zákon císaře Karla VI., který umožnil ženským potomkům (konkrétně Marii Terezii) nastoupit na habsburský trůn a zajistil nedělitelnost říše.	Edikt Marie Terezie o zrušení jezuitského řádu.	Dohoda mezi Pruskem a Rakouskem o rozdělení Slezska.	2
Co znamená pojem osvícenský absolutismus?	Styl vlády 18. stol., kdy absolutní panovník přijímá myšlenky osvícenství – provádí reformy (školství, hospodářství, náboženskou toleranci) pro blaho státu, ale ponechává si neomezenou moc.	Vládu filozofů místo králů v době osvícenství.	Demokratický systém s ústavou inspirovaný Voltairovými myšlenkami.	2
Uveďte příklad jedné významné reformy Marie Terezie.	Zavedla povinnou školní docházku (všeobecné vzdělávání) v roce 1774.	Zrušila poddanství a nevolnictví na svých panstvích.	Jako první dala ženám právo volit do sněmu.	1
Který panovník zrušil nevolnictví v habsburské monarchii a kdy?	Císař Josef II. vydal patent o zrušení nevolnictví roku 1781.	Císař Leopold I. hned po třicetileté válce roku 1650.	Marie Terezie v rámci svých reforem roku 1750.	1
Co upravoval toleranční patent Josefa II. (1781)?	Povoloval omezenou náboženskou svobodu nekatolickým vyznáním (např. evangelíkům a pravoslavným) v habsburské říši.	Zakázal katolickou církev a zavedl protestantství jako státní náboženství.	Umožnil sedlákům svobodně se stěhovat za prací do ciziny.	2
Jaký byl hlavní cíl reforem Marie Terezie a Josefa II.?	Modernizovat a posílit stát – vytvořit efektivní správu, silnou ekonomiku a loajální populaci schopnou bránit říši.	Zavést republiku a omezit vlastní moc ve prospěch parlamentu.	Umožnit šlechtě znovu získat všechny své středověké výsady.	2
Co je to katastr zavedený za Marie Terezie?	Soupis půdy a majetku (pozemkový katastr) určený k spravedlivějšímu vyměření daní.	Nová zbraň – dělo, jímž se bránily katastrální územní celky.	Systém rozdělení obyvatel do kast podle povolání.	2
Ve kterém století proběhla anglická (puritánská) revoluce?	V 17. století (v jeho polovině, 40. léta 17. stol.).	V 15. století.	V 18. století.	1
Který anglický král byl popraven během anglické občanské války?	Karel I. Stuart (roku 1649).	Jindřich VIII.	Vilém III. Oranžský.	1
Jaké rozdílné názory na vládu zastával král a parlament v 17. století v Anglii?	Král Karel I. věřil v božské právo a odmítal omezení, zatímco parlament chtěl zachovat svá práva a kontrolu nad vládou (daněmi, zákony).	Král chtěl republiku, parlament trval na monarchii.	Parlament chtěl zvolit nového krále z cizí dynastie a Karel I. chtěl zůstat.	2
Jak původně chápali pojem "revoluce" lidé v 17. stoletě?	Jako návrat k původnímu, osvědčenému pořádku (obnovení starých práv), nikoli nutně jako úplnou změnu.	Jako násilné svržení krále a nastolení anarchie.	Jako nebeský úkaz (pád hvězdy) ohlašující změnu.	3
Co se stalo v Anglii po popravě krále Karla I.?	Byla vyhlášena republika, v jejímž čele stál Oliver Cromwell jako lord protektor; monarchie byla dočasně zrušena.	Ihned převzal vládu jeho syn Karel II. bez dalších konfliktů.	Anglie byla připojena k Francii, která využila oslabení.	2
Kdo byl Oliver Cromwell?	Vůdce parlamentního vojska během anglické revoluce, později diktátor (lord protektor) vládnoucí Anglii po popravě krále.	Katolický kněz, který zprostředkoval mír mezi králem a parlamentem.	Skotský král, který se stal anglickým panovníkem po revoluci.	1
Co následovalo po smrti Olivera Cromwella?	Obnovení monarchie – na trůn se vrátil Karel II. Stuart a Anglie opět měla krále.	Jeho syn převzal titul lorda protektora a republika pokračovala.	Byla vyhlášena definitivně první komunistická republika v historii.	1
Co je to konstituční monarchie?	Monarchie, v níž je moc panovníka omezena ústavou a parlamentem – král vládne v rámci daných zákonů.	Monarchie, kde vládne absolutní král jen podle své vůle.	Dvojvládí krále a prezidenta zároveň.	1
Kolik revolucí proběhlo v Anglii v 17. století a jak se liší jejich výsledky?	Dvě – první (1640s) vedla k popravě krále a Cromwellově diktatuře, druhá „Slavná revoluce“ 1688 proběhla bez krve a nastolila trvalou konstituční monarchii.	Pouze jedna dlouhá revoluce od 1640 do 1688 s jednotným průběhem.	Tři – kromě dvou známých ještě jedna, která obnovila katolicismus.	3
Co byla Slavná revoluce (1688) v Anglii?	Pokojné sesazení katolického krále Jakuba II. a nastolení Viléma Oranžského s Mary – začátek konstituční monarchie garantované Bill of Rights.	Obnovení absolutismu Jakubem II. po krátké republikánské epizodě.	Velké selské povstání proti průmyslové revoluci.	2
Jak se jmenoval dokument, který po Slavné revoluci vymezil pravomoci panovníka a parlamentu?	Listina práv (Bill of Rights) z roku 1689.	Magna Charta Libertatum (1215).	Deklarace nezávislosti (1776).	2
Kdo byl Napoleon Bonaparte?	Francouzský vojevůdce a císař na přelomu 18. a 19. století, který dobyl značnou část Evropy.	Italský revolucionář, který vedl protihabsburské povstání.	Ruský car, který porazil Napoleona u Waterloo.	1
