
Question	Correct Answer	Option 1	Option 2	Difficulty
Proč se v římském hospodářství nerozšířilo využívání složitějších strojů?	Protože levná práce otroků snižovala motivaci zavádět nové technologie	Protože Římané neznali žádné mechanické vynálezy	Protože zákony zakazovaly používání strojů, aby nebraly lidem práci	1
Proč Římané budovali rozsáhlou síť kvalitních silnic?	Pro rychlý přesun armád a zpráv po říši (vedle podpory obchodu)	Pouze jako veřejné stavby pro poskytnutí práce chudým občanům	Chtěli ohromit ostatní národy krásou a délkou svých cest	1
Jak dokázali Římané ubytovat ve městech statisíce obyvatel?	Stavěli několikapatrové činžovní domy (insulae), čímž zvýšili hustotu osídlení	Města nikdy neměla víc než 50 tisíc obyvatel – nezvládla by jich více	Většina obyvatel musela žít za hradbami, protože uvnitř nebylo místo	1
Bylo otroctví ve všech dobách stejné, nebo se v průběhu času měnilo?	Bylo různé – podoba otroctví se měnila v čase i v různých kulturách	Bylo vždy stejné ve všech starověkých civilizacích	V antice otroctví neexistovalo, objevilo se až ve středověku	1
Která možnost NEbyla způsobem, jak se člověk mohl stát otrokem v římské říši?	Děděním šlechtického titulu po rodičích	Upadnutím do dluhů a „prodáním se“ věřiteli	Zajetím ve válce a následným prodejem do otroctví	1
Mohl se otrokem stát i svobodný či privilegovaný člověk?	Ano, např. pokud padl do zajetí nebo nezvládl splatit dluhy	Ne, otroci vždy pocházeli jen z cizích „barbarských“ národů	Ne, otrok musel být vždy zcela odlišné rasy než Římané	1
Lišily se životní podmínky otroků v různých případech?	Ano, výrazně – např. vzdělaný otrok v bohaté rodině se měl dobře, zatímco otroci v dolech trpěli ve špatných podmínkách	Ne, všichni otroci žili v stejně krutých podmínkách bez výjimky	Římští otroci se měli lépe než mnozí svobodní chudí občané, takže se to nelišilo k horšímu	1
Jaké práce mohli vykonávat otroci ve starověkém Římě?	Prakticky jakékoli – od nejtěžší manuální dřiny po kvalifikované řídicí funkce	Pouze hrubé manuální práce, nikdy nic odborného ani zodpovědného	Jen zemědělské práce – ve městech otroci nepracovali	1
Jak rozdílné mohlo být zacházení pánů s otroky?	Velmi rozdílné – od extrémní krutosti až po značnou důvěru a dobré zacházení s otroky (někdy jim svěřili i majetek)	Vždy extrémně kruté – otroci byli bez výjimky týráni pro výstrahu ostatním	Poměrně stejné – zákony přesně stanovily, jak se má s otroky jednat	1
Jak se měnilo postavení otroků v pozdních římských dějinách?	Postavení otroků se zlepšovalo – dostávali více možností získat svobodu a rozdíl mezi otrokem a svobodným se zmenšoval	Postavení se neměnilo, zůstalo stejné jako za republiky	Postavení se zhoršilo – otroci ztratili i šanci být propuštěni	1
Kdo byli Púnové (Kartáginci) a kde sídlili?	Obyvatelé města Kartága v severní Africe (dnešní Tunisko) – soupeři Říma v Punských válkách	Keltský kmen v Galii (dnešní Francie) – Římany nazývaní Púnové	Nomádský kmen na východě Středomoří – obchodníci zvaní Kartáginci	1
Jak významné byly punské války pro Řím?	Velmi významné – vítězství nad Kartágem umožnilo Římu stát se hlavní mocností Středomoří	Okrajové – neovlivnily další vývoj Říma	Po porážce v punských válkách Řím upadl a ztratil většinu území	1
Kdo byl Hannibal?	Kartáginský vojevůdce, který vedl tažení proti Římu (2. punská válka)	Římský císař ve 2. století n.l., známý svým krutým pronásledováním křesťanů	Egyptský faraon bojující proti Římanům	1
Proč vypukla v Římě za Caesara občanská válka?	Protože republikánský systém nezvládal ambice mocných vojevůdců – generálové jako Caesar chtěli osobní moc	Kvůli náboženským sporům mezi pohany a křesťany	Kvůli povstání otroků pod vedením Spartaka	1
Do kterého století patří život a působení Julia Caesara?	Do 1. století př.n.l.	Do 3. století př.n.l.	Do 2. století n.l.	1
Jak dopadla občanská válka mezi Caesarem a Pompeiem?	Caesar zvítězil, porazil Pompeia a stal se faktickým vládcem Říma	Pompeius zvítězil a obnovil plnou moc senátu	Válka skončila nerozhodně a vedla k rozdělení římské říše na východní a západní část	1
Jak a proč zemřel Julius Caesar?	Byl zavražděn spiklenci z řad senátorů, kteří se obávali jeho rostoucí moci a chtěli zabránit obnovení královlády	Padl v bitvě u Farsálu v občanské válce	Zemřel přirozenou smrtí jako první císař po pádu republiky	1
Byl Julius Caesar římským císařem?	Ne – soustředil obrovskou moc (doživotní diktátor), ale formálně zastával republikánské úřady, císařem nebyl	Ano, byl oficiálně prvním římským císařem po zániku republiky	Ne, Caesar neměl v římské politice významnější roli	1
Kdo byla Kleopatra a jak souvisela s římskými dějinami?	Egyptská panovnice, milenka Julia Caesara a později Marka Antonia	Manželka prvního římského císaře Augusta	Kartaginská královna, která zradila Hannibala ve prospěch Říma	1
Kdo se stal po další občanské válce prvním římským císařem?	Octavianus Augustus (vítěz nad Markem Antoniem)	Julius Caesar	Marcus Antonius	1
Na jaká dvě hlavní období se dělí římské císařství a čím se liší?	Na principát a dominát – principát se formálně opíral o instituce republiky, zatímco dominát byl otevřená absolutní monarchie	Na období před Kristem a po Kristu – lišily se v náboženství vládců	Římské císařství se nedělí, bylo jednotné po celou dobu	1
Střídala se během císařství v Římě dobrá a špatná období v závislosti na císaři?	Ano – střídala se dobrá a špatná léta, kvalita vlády závisela i na schopnostech konkrétního císaře	Ne, císařství bylo stabilní bez ohledu na osobnost vládce	Ne, špatná období nastala jen po přijetí křesťanství	1
Co se často stane, pokud vládce získá neomezenou moc bez kontroly?	Snadno dojde k zneužití moci a útlaku – absolutní moc korumpuje	Vládce se stane spravedlivějším, protože nemá soupeře	Většinou nic – osobnost vládce se tím nemění	1
Jaký dlouhodobý spor se vine českými dějinami od 9. století?	Spor o vztah českého státu k Východofranské (později Svaté) říši římské – soupeření o moc a míru nezávislosti dlouhodobě ovlivňovalo české dějiny	Střídavá nenávist a přátelství mezi Čechy a Poláky – to je hlavní linie českých dějin	Konflikt mezi katolíky a protestanty – začal už v 9. století a táhl se stále	2
Jaký formální vztah měl ve středověku anglický král k francouzskému králi?	Anglický král byl (jako vévoda držící území ve Francii) vazalem francouzského krále	Žádný – byli si rovni jako zcela nezávislí panovníci	Francouzský král byl vazalem anglického krále	1
Čím se často upevňovaly ve středověku mezinárodní vztahy a mír mezi panovnickými rody?	Dynastickými sňatky (sňatky mezi příslušníky vládnoucích rodů)	Hromadným křtem všech vládců	Pravidelnými sportovními kláními rytířů	1
Jaký byl obvyklý skutečný důvod anulace (zrušení) sňatku středověkých panovníků?	Mocenské důvody – např. neplodnost manželky (chybějící dědic) nebo výhodnější spojenectví jinde; uváděly se formální zástupné důvody jako příbuzenství či impotence	Láska panovníka k jiné ženě, kterou chtěl pojmout za manželku	Osobní neshody manželského páru	1
Jak mohly rodinné vztahy a dědická práva ovlivnit politiku středověkého státu?	Příbuzenské vazby (sňatky) a nároky na trůn mohly vést ke spojení zemí nebo naopak ke konfliktům a válkám o dědictví	Nijak – rodinné záležitosti nehrály v politice roli	Sňatky panovníků byly čistě soukromé a bez politických dopadů	1
Vlastnila Anglie ve středověku nějaká území na evropském kontinentě?	Ano, v některých obdobích ovládali angličtí králové rozsáhlá území ve Francii	Ne, nikdy – byla omezená jen na Britské ostrovy	Jen malé přístavy v dnešní Belgii a Nizozemsku	1
Co byla Magna Charta (1215) a proč je důležitá?	Listina, kterou anglická šlechta donutila krále Jana bez Země potvrdit svoje práva a omezit jeho moc – považuje se za předchůdkyni ústavy	Dohoda mezi Anglií a Francií o ukončení stoletých válek	Papežská bula odsuzující krále Jana bez Země jako kacíře	1
Jak se postupně vyvíjel vztah mezi šlechtou a panovníkem ve 12.–14. století (např. v Anglii nebo Francii)?	Šlechta stále více omezovala královu moc a vyžadovala podíl na vládě – postupně narůstal konflikt o moc a práva	Mezi králem a šlechtou vládla trvalá harmonie bez sporů	Panovníci získávali stále absolutnější moc a šlechta ztrácela veškerá práva	1
Jaká známá bitva z roku 1214 ukončila soupeření anglického krále Jana bez Země a francouzského krále Filipa II. Augusta o území ve Francii?	Bitva u Bouvines (1214) – Francouzi tam Angličany porazili a potvrdili si převahu	Bitva u Hastings (1214) – Angličané tam dobyli sever Francie	Bitva na Moravském poli (1214) – Jan bez Země padl v boji s Filipem II.	1
Jak středověcí lidé vnímali výsledek bitvy mezi panovníky?	Jako Boží soud – vítězství v bitvě považovali za znamení, že Bůh podpořil „správnou“ stranu	Jako čistě náhodný výsledek bez hlubšího významu	Jako ostudu poraženého krále, která neměla s božskou vůlí nic společného	1
Jaké příležitosti poskytovaly středověká bitva či turnaj kromě bojování?	K získání kořisti, výkupného a slávy, k navázání společenských kontaktů (dohody, sňatky)	Žádné – byla to čistě vojenská záležitost bez dalších aspektů	K získání rozhřešení a odpuštění všech hříchů pro účastníky	1
Jaký je rozdíl mezi vnitřní a vnější kolonizací ve středověku?	Vnitřní kolonizace osidlovala dosud neosídlené oblasti uvnitř státu (mírově), zatímco vnější kolonizace znamenala expanzi osadníků na nová, cizí území – někdy i násilně	Není žádný – oba termíny označují zakládání osad v neobydlených končinách	Pojem vnitřní kolonizace se týká vesnic a vnější měst	1
Bylo celé území středověkých českých zemí hustě osídleno?	Ne – značná část (hlavně pohraniční hory a lesy) byla původně neosídlená a byla kolonizována až ve vrcholném středověku	Ano – už v 10. století byly všechny oblasti Čech a Moravy plně osídleny	Pouze Morava byla zčásti prázdná, Čechy byly zcela obydlené od počátku	1
Kdo obvykle vlastnil nově založené středověké vesnice a města?	Nějaká vrchnost (král, šlechtic, církev) – vesnice a města obvykle patřily panovníkovi nebo pánovi, ne samotným obyvatelům	Všichni obyvatelé společně – vlastnictví obce bylo kolektivní	Byly vždy svobodné a nikomu „nehospodskému“ nepatřily	1
Jak změny v zemědělství (např. trojpolní systém, nový pluh) ovlivnily rozvoj měst a obchodu?	Vyšší produkce potravin → nárůst populace → část lidí se mohla věnovat řemeslům a obchodu → vznikla nová města a rozkvět trhu	Nijak – zemědělství a rozvoj měst spolu nesouvisí	Negativně – všechny přebytky pohltila církev a města stagnovala	1
Měly cechy ve městech jen ekonomickou funkci (kontrola řemesla), nebo i jinou?	Měly i sociální a společenské funkce – pomáhaly členům v nouzi, pořádaly slavnosti apod.	Pouze ekonomickou – dohlížely na výrobu a ceny a tím to končilo	Výhradně náboženskou – byly to bratrstva řemeslníků, která se společně modlila	1
Co byla Zlatá bula sicilská (1212) a jaký měla význam pro České království?	Listina císaře Fridricha II., která potvrzovala dědičný královský titul Přemyslovcům a další výsady – zajistila suverénní postavení českých zemí v Říši	Smlouva mezi Českým královstvím a Sicílií o spojenectví	Bula (výnos) papeže, který v roce 1212 korunoval českého krále	1
Kdo udělil Přemyslu Otakarovi I. Zlatou bulu sicilskou?	Římský císař (a sicilský král) Fridrich II.	Francouzský král Filip II.	Papež Innocent III.	1
Jaký nový symbol přijali Přemyslovci pro své království ve 13. století místo orlice?	Dvouocasého lva	Orlici obrácenou hlavou doprava	Dvouhlavého černého orla	1
O co se starali středověcí panovníci více – o zájmy své dynastie, nebo o „národ“?	Především o moc a zájmy svého rodu (dynastie); „národní“ zájmy v moderním smyslu nebyly pro ně prioritou	Jen o „národ“ – středověcí králové vnímali své poddané už jako národ	Primárně o blaho všech obyvatel, dynastické zájmy pro ně nehrály roli	1
Kdo byl Přemysl Otakar II. a čím vynikal?	Český král 13. století, jeden z nejmocnějších evropských panovníků své doby, usiloval i o titul císaře	Moravský kníže, který uvedl do země Cyrila a Metoděje	První český král, který přijal křesťanství	1
Ve které bitvě a proti komu padl roku 1278 český král Přemysl Otakar II.?	V bitvě na Moravském poli (u Suchých Krut) proti římskému králi Rudolfu Habsburskému	V bitvě u Kresčaku proti anglickému králi Eduardovi III.	V bitvě u Moháče proti tureckému sultánovi Sulejmanovi	1
Jak česká tradice často vysvětluje porážku a smrt Přemysla Otakara II. na Moravském poli?	Kládla ji za vinu zradě některých jeho spojenců, kteří ho v bitvě opustili	Důvodem prý byla kletba papeže kvůli sporu s církví	Česká tradice to přičítá přesile nepřítele a nezdůrazňuje žádný jiný faktor	1
Co dokládá, že historické prameny mohou být zaujaté nebo nepřesné (např. při popisu smrti krále)?	Autoři kronik mohli do výkladu promítnout své názory, cíle nebo omezené informace – je potřeba číst pramen kriticky	Všechny prameny jsou zcela objektivní a spolehlivé – nic takového nedokládají	To, že se dochovalo více různých verzí téže události, což dokazuje úmyslné lhaní všech kronikářů	1
Proč byly sňatky a rozvody důležitou součástí mezinárodních vztahů středověku?	Protože skrze dynastické sňatky se uzavírala spojenectví či získávala území; neplodnost manželství či mocenské důvody pak vedly i k jeho zrušení	Nebyly – mezinárodní vztahy řešily jen války, sňatky panovníků byly osobní věc	Protože jen prostřednictvím sňatku mohl panovník legitimizovat své postavení	1
Mohlo se území středověkého státu během pár generací výrazně měnit?	Ano – hranice států se často měnily a některé regiony (historická jádra) zůstávaly státu dlouhodobě, kolem nich se formovaly budoucí národní celky	Ne, území států byla už tehdy téměř stejná jako dnes	Ne, státy tehdy neměly pevné hranice, takže území nešlo určit	1
Který středověký rytířský řád se proslavil jako strážce poutních cest a byl zrušen ve 14. století kvůli obviněním z kacířství?	Řád templářů	Řád německých rytířů	Řád johanitů (maltézských rytířů)	1
Jak se měnilo vnímání historických událostí v pozdějších dobách (např. 19. a 20. století) oproti středověku?	Každá doba může tutéž historickou událost vykládat jinak podle svých aktuálních potřeb a hodnot – novější generace ji mohou vidět odlišně	Novověk a moderní doba se dívají na středověké události stejně jako středověcí lidé sami – výklad se nemění	Historické události zůstávají v paměti národů pevně dané a neměnné, jejich vnímání se v čase nemění	2
